GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Delphi Council IS,de.paladinsinn.tp.dcis.ui,CrudServiceDataProvider,26,0,0,0,8,0,5,0,5,0
Delphi Council IS,de.paladinsinn.tp.dcis.ui,MainView,637,0,14,0,122,0,29,0,22,0
Delphi Council IS,de.paladinsinn.tp.dcis.security,CustomRequestCache,8,7,2,0,3,2,2,2,1,2
Delphi Council IS,de.paladinsinn.tp.dcis.security,SecurityUtils,29,11,9,1,3,4,7,2,2,2
Delphi Council IS,de.paladinsinn.tp.dcis.security,SecurityConfiguration,0,177,0,0,0,29,0,6,0,6
Delphi Council IS,de.paladinsinn.tp.dcis.security,LoggedInUser,253,0,20,0,67,0,24,0,14,0
Delphi Council IS,de.paladinsinn.tp.dcis.security,AuthenticationHandler,55,13,2,0,12,5,3,2,2,2
Delphi Council IS,de.paladinsinn.tp.dcis.security,ConfigureUIServiceInitListener,110,47,11,1,21,5,9,3,3,3
Delphi Council IS,de.paladinsinn.tp.dcis.data.operative,OperativeSpecialReport,105,3,12,0,30,1,13,1,7,1
Delphi Council IS,de.paladinsinn.tp.dcis.data.operative,OperativeReport,104,3,12,0,29,1,11,1,5,1
Delphi Council IS,de.paladinsinn.tp.dcis.data.operative,Operative,268,13,34,0,62,3,32,1,15,1
Delphi Council IS,de.paladinsinn.tp.dcis.ui.views.operativespecialreports,RemoveOperativeFromSpecialMissionEvent,22,0,0,0,6,0,2,0,2,0
Delphi Council IS,de.paladinsinn.tp.dcis.ui.views.operativespecialreports,AddOperativeToSpecialMissionListener,158,4,0,0,28,1,1,1,1,1
Delphi Council IS,de.paladinsinn.tp.dcis.ui.views.operativespecialreports,OperativeSpecialReportSaveEvent,8,0,0,0,3,0,1,0,1,0
Delphi Council IS,de.paladinsinn.tp.dcis.ui.views.operativespecialreports,OperativeSpecialReportForm,378,0,38,0,67,0,30,0,11,0
Delphi Council IS,de.paladinsinn.tp.dcis.ui.views.operativespecialreports,AddOperativeToSpecialMissionEvent,29,0,0,0,8,0,2,0,2,0
Delphi Council IS,de.paladinsinn.tp.dcis.ui.views.operativespecialreports,OperativeSpecialReportService,95,10,0,0,23,4,4,2,4,2
Delphi Council IS,de.paladinsinn.tp.dcis.ui.views.operativespecialreports,RemoveOperativeFromSpecialMissionListener,137,4,0,0,27,1,1,1,1,1
Delphi Council IS,de.paladinsinn.tp.dcis.data.missions,SuccessState,23,44,0,0,1,5,1,1,1,1
Delphi Council IS,de.paladinsinn.tp.dcis.data.missions,Mission,124,8,4,0,34,2,7,1,5,1
Delphi Council IS,de.paladinsinn.tp.dcis.data.missions,MissionReport,143,8,14,0,38,2,13,1,6,1
Delphi Council IS,de.paladinsinn.tp.dcis.ui.views.person,PersonRegistrationListener,84,4,0,0,14,1,2,1,2,1
Delphi Council IS,de.paladinsinn.tp.dcis.ui.views.person,StartPasswordResetEvent,14,0,0,0,5,0,1,0,1,0
Delphi Council IS,de.paladinsinn.tp.dcis.ui.views.person,PersonRegistrationEvent,198,0,18,0,34,0,14,0,5,0
Delphi Council IS,de.paladinsinn.tp.dcis.ui.views.person,PersonListView,503,0,8,0,75,0,14,0,10,0
Delphi Council IS,de.paladinsinn.tp.dcis.ui.views.person,PersonSaveService,92,10,0,0,18,4,3,2,3,2
Delphi Council IS,de.paladinsinn.tp.dcis.ui.views.person,StartPasswordResetListener,154,4,2,0,37,1,9,1,8,1
Delphi Council IS,de.paladinsinn.tp.dcis.ui.views.person,PersonForm,1401,0,76,0,243,0,61,0,23,0
Delphi Council IS,de.paladinsinn.tp.dcis.ui.views.person,PersonEditView,158,0,10,0,40,0,16,0,11,0
Delphi Council IS,de.paladinsinn.tp.dcis.ui.views.person,ResetPasswordListener,83,4,0,0,20,1,7,1,7,1
Delphi Council IS,de.paladinsinn.tp.dcis.ui.views.person,ConfirmationTokenListener,95,4,0,0,18,1,4,1,4,1
Delphi Council IS,de.paladinsinn.tp.dcis.ui.views.person,PersonSaveEvent,12,0,0,0,3,0,2,0,2,0
Delphi Council IS,de.paladinsinn.tp.dcis.ui.views.person,ResetPasswordEvent,11,0,0,0,4,0,1,0,1,0
Delphi Council IS,de.paladinsinn.tp.dcis.ui.views.person,ConfirmationTokenEvent,8,0,0,0,3,0,1,0,1,0
Delphi Council IS,de.paladinsinn.tp.dcis.ui.components,TorgButton,183,0,10,0,39,0,18,0,13,0
Delphi Council IS,de.paladinsinn.tp.dcis.ui.components,OperativeSelector,350,0,0,0,83,0,42,0,42,0
Delphi Council IS,de.paladinsinn.tp.dcis.ui.components,TorgActionBar,309,0,24,0,54,0,26,0,14,0
Delphi Council IS,de.paladinsinn.tp.dcis.ui.components,PersonSelector,158,0,12,0,34,0,14,0,8,0
